experiment,controller,min_clearance,min_cbf,collision,mean_qp_ms,p95_qp_ms,max_qp_ms,completion_step,mean_goal_error,mean_control_deviation,per_agent_control_deviation,n_agents,final_mean_alpha_estimate_error
lane_swap_6,nominal,-0.3984064587121031,-1.1978091097699792,True,0.0,0.0,0.0,,2.2377242186027293,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,
lane_swap_6,symmetric_barrier,-0.036155270322911326,-1.1762035863469498,True,1.0119325523798277,1.2105509456887376,2.0249179942766204,,2.4485079754452883,1.0466143137028399,"[0.794515408573925, 0.7414708482385957, 1.4777088880504925, 1.41608096660799, 0.28527621894823346, 1.5646335517978016]",,
lane_swap_6,heterogeneous_barrier,0.010649569740572573,0.21971265334422155,False,0.5103268722450593,0.6563659491803266,0.8143495021310324,,2.493305770825127,1.112784942064995,"[0.665462351343381, 1.1333100875926925, 1.2464703037589857, 1.421954657657048, 0.9653584416094555, 1.244153810428407]",,
lane_swap_10,heterogeneous_barrier,0.006194403892371414,0.16888341378144295,False,1.2910450399552549,2.149295629715177,23.475607299769763,,3.2224468030505853,1.0987721566296216,"[0.7139911810407926, 1.345788749957029, 1.020352799658115, 1.3543425654254333, 1.0593854870668475, 1.0593854870666386, 1.3543425654253411, 1.0203527996582473, 1.345788749957005, 0.7139911810407664]",10,
lane_swap_15,heterogeneous_barrier,0.0046024215989803885,0.14668765109536624,False,1.2538794277740333,3.838350766697245,11.23127180035226,,3.3578741906275797,1.1364599954714076,"[0.6474715010173141, 1.503115465063619, 1.4112966045331814, 1.0617682257611036, 0.50323830091037, 1.2110777263744643, 1.404427322585719, 1.3785138817007834, 1.1456898323861602, 0.6515497294330426, 1.5041613363211945, 1.110652913591243, 1.212464147553658, 1.534411876171615, 0.7670610686676482]",15,
lane_swap_20,heterogeneous_barrier,0.0001141380288543492,0.029267124095631654,False,1.397498049979428,2.6849475899870767,10.977382750570541,,3.496179611356733,1.2326679826464928,"[0.6879576230742909, 1.5619293507542031, 1.586220641470624, 1.406137723908802, 0.49862740424200197, 1.132049748930906, 1.4224316876882528, 1.5849743559736746, 1.5740838385276352, 0.6578781970064974, 1.4380342926617353, 1.4772168419896474, 1.51011574213341, 1.2655067903313246, 0.5232957191750445, 1.1098359508100297, 1.4466586351130508, 1.555955738213011, 1.5416780376898056, 0.6727713332359078]",20,
sensitivity_ds_0.00_gamma_0.50,heterogeneous_barrier,0.021671505724117857,0.3097100874994483,False,0.5110765943552704,0.5680204823875101,0.7451743343456959,,2.7129020166399083,1.1985062235545563,"[0.741152324965354, 1.1891689880927887, 1.356034798381186, 1.5021870193065523, 0.991794850769467, 1.4106993598119892]",,
sensitivity_ds_0.00_gamma_1.00,heterogeneous_barrier,0.010649569740572573,0.21971265334422155,False,0.515552614201119,0.6019261500720557,0.6402440000480661,,2.493305770825127,1.112784942064995,"[0.665462351343381, 1.1333100875926925, 1.2464703037589857, 1.421954657657048, 0.9653584416094555, 1.244153810428407]",,
sensitivity_ds_0.00_gamma_2.00,heterogeneous_barrier,-0.00020755095678137714,0.0017016343284389308,True,0.838887391687927,1.477207359857858,4.2355631667305715,,2.4183787859186894,0.9240839455614455,"[0.800732338376029, 0.8184940737722078, 1.0071031215427153, 1.0405810526023207, 0.7554917858735154, 1.1221013012018843]",,
sensitivity_ds_0.05_gamma_0.50,heterogeneous_barrier,0.024957753233265212,0.3325826904261423,False,0.49260226405749563,0.6590370171276543,0.6886071666182639,,2.7423204211831647,1.2282261831822927,"[0.7732256633657905, 1.194949151620402, 1.3991868145098867, 1.5500410457638418, 0.9988973612506615, 1.453057062583172]",,
sensitivity_ds_0.05_gamma_1.00,heterogeneous_barrier,0.01224268360540548,0.23560307907679537,False,0.4605430304865068,0.5832846828222198,0.6479041646040665,,2.5147792537309557,1.1579389093470935,"[0.6853185893830702, 1.1633256720861078, 1.320221554675327, 1.4829202828927253, 0.9756032830804741, 1.3202440739648575]",,
sensitivity_ds_0.05_gamma_2.00,heterogeneous_barrier,0.0033181131464159463,0.10873965227637766,False,0.4973450001367989,0.6826231423474389,0.8983011672777744,,2.4511125384853947,0.9936521840190401,"[0.8441951647785614, 0.8691239937311896, 1.1156042461721547, 1.1358415516609435, 0.7893626660232809, 1.207785481748111]",,
sensitivity_ds_0.10_gamma_0.50,heterogeneous_barrier,0.028282301852851077,0.3542483027268198,False,0.5291073553962633,0.6074421253288169,0.8281638341334959,,2.7707620613266055,1.2541205993265403,"[0.8024425769135656, 1.20426827372252, 1.4658847331150453, 1.5681942797335153, 0.9925238415260175, 1.4914098909485767]",,
sensitivity_ds_0.10_gamma_1.00,heterogeneous_barrier,0.014064971675724958,0.25248188665673504,False,0.5151611612948019,0.5703535251086579,0.6501031675725244,,2.5437157023576003,1.2219639002793792,"[0.778625103591285, 1.1950680041989339, 1.4391040386717047, 1.502966173373495, 0.9777365089154562, 1.4382835729254009]",,
sensitivity_ds_0.10_gamma_2.00,heterogeneous_barrier,0.006283853739916356,0.14968364877669055,False,0.4996649722064224,0.5823335913495012,0.7087623331851015,,2.479729932166831,1.0557975740884016,"[0.8585433121646449, 0.9278074686121354, 1.2202876659170172, 1.2338276960935695, 0.813797650696289, 1.2805216510467547]",,
uncertainty_baseline_six,uncertain_heterogeneous_barrier,0.014410653178296262,0.2545095464609445,False,0.5938405806066132,0.6325049403434002,6.44043766563603,,2.754450061420094,1.1995345864525813,"[0.7679133045456695, 1.1849061225418722, 1.3212403211069816, 1.5098607724096083, 1.0120858232291674, 1.4012011748821878]",,0.4231805109585747
